Trail Board,5/27/2014,7:00 PM,City Hall,--,--,
City Council,5/20/2014,6:30 PM,City Hall,--,--,
EDA,5/14/2014,7:00 AM,City Hall,--,--,
Planning,5/12/2014,6:30 PM,City Hall,--,--,
Library,5/12/2014,6:00 PM,City Hall,--,--,
Police,5/6/2014,after Council,City Hall,--,--,
City Council,5/6/2014,6:30 PM,City Hall,--,--,http://www.youtube.com/watch?v=5lCrXVRZVZ0&feature=share
Trail Board,4/22/2014,7:00 PM,City Hall,--,--,
City Council,4/15/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=50241,--,http://www.youtube.com/watch?v=DwXQMWJkJx0&feature=share
Public Works,4/15/2014,1:00 PM,City Hall,agendas/140415/agenda.pdf,--,
Planning,4/14/2014,6:30 PM,City Hall,--,--,http://www.youtube.com/watch?v=0XXHf1PRxJw
Library (canceled),4/14/2014,6:00 PM,City Hall,--,--,
EDA,4/9/2014,7:00 AM,City Hall,--,--,
City Council,4/1/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=50110,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=50232,https://www.youtube.com/watch?v=rCNyFckhPEI
Public Works,4/1/2014,1:00 PM,City Hall,agendas/140401/agenda.pdf,--,
Trail Board,3/25/2014,7:00 PM,City Hall,--,--,
Police,3/18/2014,after Council,City Hall,--,--,
City Council,3/18/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49953,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=50103,https://www.youtube.com/watch?v=k9ZzdLFCtM4&list=UUIi1h9LoV9fefFTucM8bRtw
EDA,3/12/2014,7:00 AM,City Hall,--,--,
Planning,3/10/2014,6:30 PM,City Hall,--,--,https://www.youtube.com/watch?v=JST489a8GWU
Library,3/10/2014,6:00 PM,City Hall,agendas/140310/agenda.pdf,--,
City Council (amended),3/6/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49852,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49935,https://www.youtube.com/watch?v=iIgT2BEccr8
Public Works,3/4/2014,1:00 PM,City Hall,agendas/140304/agenda.pdf,,
Pool Referendum Voting,3/3/2014,,City Hall,--,--,
Trail Board,2/25/2014,7:00 PM,City Hall,--,--,
City Council,2/18/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49683,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49758,http://www.youtube.com/watch?v=3ESe2VmKP3w&feature=youtu.be
Pool Public Meeting,2/18/2014,5:30 PM,City Hall,resources/pool_info.pdf,--,
EDA,2/12/2014,7:00 AM,City Hall,--,--,
Planning,2/10/2014,6:30 PM,City Hall,--,--,
City Council,2/6/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49581,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49679,http://www.youtube.com/watch?v=ns_NkUzh7E0&feature=c4-overview&list=UUIi1h9LoV9fefFTucM8bRtw
City Council Special,2/6/2014,6:00 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49575,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49678,
Public Works,2/4/2014,1:00 PM,City Hall,--,,
Trail Board,1/28/2014,7:00 PM,--,--,--,
City Council,1/21/2014,6:30 PM,City Hall,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49322,http://lfdocs.cannonfallsmn.gov/WebLink8/DocView.aspx?dbid=0&fullui=true&openfile=true&id=49567,http://www.youtube.com/watch?v=2BzcwbHOvW0&list=UUIi1h9LoV9fefFTucM8bRtw
Pool Public Meeting,1/21/2014,5:30 PM,City Hall,resources/pool_info.pdf,--,
Planning,1/13/2014,6:30 PM,City Hall,agendas/140113pc/agenda.pdf,--,https://www.youtube.com/watch?v=nat_NsJuC1w&feature=youtu.be
Library,1/13/2014,6:00 PM,City Hall,agendas/140113/packet.pdf,--,
EDA,1/8/2014,7:00 AM,City Hall,agendas/140108/agenda.pdf,--,
